Text#,Title,Authors
35,The Time Machine,"Wells, H. G. (Herbert George), 1866-1946"
36,The War of the Worlds,"Wells, H. G. (Herbert George), 1866-1946"
42,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis, 1850-1894"
43,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis, 1850-1894"
62,A Princess of Mars,"Burroughs, Edgar Rice, 1875-1950"
64,The Gods of Mars,"Burroughs, Edgar Rice, 1875-1950"
68,The warlord of Mars,"Burroughs, Edgar Rice, 1875-1950"
72,"Thuvia, Maid of Mars","Burroughs, Edgar Rice, 1875-1950"
83,"From the Earth to the Moon; and, Round the Moon","Verne, Jules, 1828-1905"
84,"Frankenstein; Or, The Modern Prometheus","Shelley, Mary Wollstonecraft, 1797-1851"
86,A Connecticut Yankee in King Arthur's Court,"Twain, Mark, 1835-1910"
96,The Monster Men,"Burroughs, Edgar Rice, 1875-1950"
97,Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott, 1838-1926"
123,At the Earth's Core,"Burroughs, Edgar Rice, 1875-1950"
126,The Poison Belt,"Doyle, Arthur Conan, 1859-1930"
139,The Lost World,"Doyle, Arthur Conan, 1859-1930"
149,The Lost Continent,"Burroughs, Edgar Rice, 1875-1950"
159,The island of Doctor Moreau,"Wells, H. G. (Herbert George), 1866-1946"
164,Twenty Thousand Leagues under the Sea,"Verne, Jules, 1828-1905"
201,Flatland: A Romance of Many Dimensions,"Abbott, Edwin Abbott, 1838-1926"
285,The Lost Continent,"Hyne, Charles John Cutcliffe Wright, 1866-1944"
369,The Outlaw of Torn,"Burroughs, Edgar Rice, 1875-1950"
456,"The Door in the Wall, and Other Stories","Wells, H. G. (Herbert George), 1866-1946"
545,At the Earth's Core,"Burroughs, Edgar Rice, 1875-1950"
551,The Land That Time Forgot,"Burroughs, Edgar Rice, 1875-1950"
552,The People That Time Forgot,"Burroughs, Edgar Rice, 1875-1950"
553,Out of Time's Abyss,"Burroughs, Edgar Rice, 1875-1950"
604,Gulliver of Mars,"Arnold, Edwin Lester, 1857-1935"
605,Pellucidar,"Burroughs, Edgar Rice, 1875-1950"
624,"Looking Backward, 2000 to 1887","Bellamy, Edward, 1850-1898"
765,The Moon Pool,"Merritt, Abraham, 1884-1943"
775,When the Sleeper Wakes,"Wells, H. G. (Herbert George), 1866-1946"
799,De la terre à la lune: trajet direct en 97 heures 20 minutes,"Verne, Jules, 1828-1905"
1013,The First Men in the Moon,"Wells, H. G. (Herbert George), 1866-1946"
1059,The World Set Free,"Wells, H. G. (Herbert George), 1866-1946"
1153,The Chessmen of Mars,"Burroughs, Edgar Rice, 1875-1950"
1250,Anthem,"Rand, Ayn, 1905-1982"
1268,The Mysterious Island,"Verne, Jules, 1828-1905"
1329,A Voyage to Arcturus,"Lindsay, David, 1876-1945"
1353,Off on a Comet! a Journey through Planetary Space,"Verne, Jules, 1828-1905"
1607,A Journey in Other Worlds: A Romance of the Future,"Astor, John Jacob, 1864-1912"
1743,Twelve Stories and a Dream,"Wells, H. G. (Herbert George), 1866-1946"
1951,The Coming Race,"Lytton, Edward Bulwer Lytton, Baron, 1803-1873"
2488,Twenty Thousand Leagues Under the Seas: An Underwater Tour of the World,"Verne, Jules, 1828-1905; Winter, Milo, 1888-1956 [Illustrator]; Walter, Frederick Paul, 1943- [Translator]"
2509,The Lani People,"Bone, Jesse F. (Jesse Franklin), 1916-2006"
3479,The Metal Monster,"Merritt, Abraham, 1884-1943"
